6EJX:AD	d1ozna_	30.738	244	136	7	10	224	13	252	1.00e-19	81.6
6MB4:ABCD	d3ijwa_	28.996	269	164	7	10	268	14	265	1.44e-26	99.8
6MVN:AB	d1l3la2	22.093	86	60	2	53	133	49	132	0.003	32.0
6PFP:ABCD	d1wu9a1	93.617	47	3	0	112	158	13	59	2.90e-27	92.4
6C0B:B	d1ijya_	56.481	108	46	1	39	145	4	111	4.05e-47	144
6HSQ:ABCD	d2y71a_	50.758	132	62	1	12	143	5	133	5.40e-40	126
5B3I:ABCD	d2ykza_	31.298	131	82	3	4	134	4	126	1.62e-18	70.9
5CEI:B	d2i53a1	34.091	88	53	2	18	103	11	95	8.51e-08	45.4
5Y2I:BC	d1e58a_	58.000	250	102	2	2	251	1	247	1.30e-103	296
5QQD:B	d1ntya1	91.111	180	16	0	3	182	2	181	1.11e-128	354
5ETK:A	d3ip0a_	100.000	158	0	0	5	162	1	158	2.24e-118	326
5YX4:A	d4doia_	60.190	211	83	1	3	213	1	210	1.47e-90	261
4XZD:AD	d4jera_	98.907	183	0	1	14	196	1	181	2.40e-134	370
4ZYT:A	d2blna2	25.850	147	95	3	47	190	44	179	4.23e-10	52.0
4ZBJ:A	d1roca_	99.351	154	1	0	7	160	2	155	4.55e-112	310
6MBX:ABC	d4espa_	82.308	130	23	0	26	155	1	130	6.15e-83	235
6MBX:ABC	d1sf9a_	85.714	14	2	0	11	24	1	14	0.005	30.0
5UDZ:AB	d3ulja_	77.011	87	20	0	5	91	1	87	1.22e-46	141
6EJW:ABCD	d1jhga_	99.010	101	1	0	8	108	1	101	9.99e-71	201
6MF4:A	d3rq7a1	35.714	84	50	1	99	182	39	118	1.76e-14	63.5
6HM9:A	d2c71a1	31.122	196	121	4	85	272	1	190	4.31e-25	94.4
5BS8:BD	d3m4ia_	91.787	207	0	2	26	232	1	190	1.89e-135	374
6NI4:A	d2rk3a_	28.571	140	95	3	45	179	42	181	4.11e-09	49.3
6XC4:AZ	d2ghvc1	72.826	184	49	1	15	198	1	183	1.64e-98	280
5DFX:A	d1dy5a_	100.000	14	0	0	19	32	1	14	6.09e-04	33.5
6CY6:A	d4jxqa_	27.723	101	61	4	85	184	85	174	3.85e-04	34.3
5ZCJ:C	d2g3ra1	100.000	53	0	0	31	83	1	53	8.66e-35	112
6QH4:ABCD	d1nkia_	46.667	30	16	0	23	52	1	30	4.77e-04	33.1
6QH4:ABCD	d1sf9a_	100.000	12	0	0	11	22	1	12	0.005	30.0
4YK5:A	d4al0a_	100.000	146	0	0	9	154	1	146	5.45e-109	301
5Z0D:B	d3awub_	92.857	84	0	1	40	123	1	78	1.38e-47	143
5A6T:B	d4ac7b_	100.000	122	0	0	5	126	1	122	2.20e-86	242
5A6T:A	d4ac7a_	98.000	100	2	0	1	100	1	100	6.31e-71	201
6V2T:AB	d2blna2	27.711	83	59	1	116	197	96	178	7.46e-05	37.4
6NIF:A	d2vfxa_	26.812	138	100	1	16	152	18	155	5.56e-13	60.8
5UIZ:AB	d4a02a_	27.397	73	49	3	152	221	94	165	1.36e-04	35.8
5C0T:AB	d3f0pa2	99.219	128	1	0	81	208	1	128	1.93e-93	264
6CKH:A	d2rkqa_	34.545	165	107	1	4	167	4	168	8.48e-38	123
5YGU:B	d2fvva1	28.571	112	68	5	3	103	6	116	2.76e-04	33.9
6MWF:ABC	d3f0da_	97.484	159	0	1	5	163	1	155	2.58e-109	303
6HTN:ABCDEF	d1ofza_	30.000	150	91	7	1	143	63	205	5.10e-11	53.9
6HTN:ABCDEF	d1ofza_	33.628	113	63	5	10	119	125	228	1.40e-08	46.6
4YL4:A	d2ov0a_	40.000	70	36	3	16	81	28	95	3.22e-08	43.1
5YCT:AB	d2o9ux_	93.750	96	5	1	2	97	1	95	1.23e-62	180
